Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDO31,6.770447773761164,reg,0.0189945114520779,Fruits and Vegetables,78.40062775507377,OUT013,1987,High,Tier 3,Supermarket Type1,1757.7114201101483
FDP12,9.80589007479061,Regular,0.0542638412602155,Baking Goods,36.20886981554344,OUT045,2002,Medium,Tier 2,Supermarket Type1,423.4742761006018
FDP44,16.5,Regular,0.079713576,Fruits and Vegetables,101.3332,OUT046,1997,Small,Tier 1,Supermarket Type1,1537.998
NCV41,14.329170716663931,Low Fat,0.0222927451328321,Health and Hygiene,109.51160784234251,OUT049,1999,Medium,Tier 1,Supermarket Type1,1768.3683693225496
FDR02,16.69994501981211,Low Fat,0.0145382173565351,Dairy,110.88471461191716,OUT045,2002,Medium,Tier 2,Supermarket Type1,3558.036840868785
FDB03,17.72625737569248,Regular,0.1764454848255268,Dairy,239.15923772884688,OUT018,2009,Medium,Tier 3,Supermarket Type2,4326.352075800734
NCF43,8.534145455096466,Low Fat,0.0561551945386,Household,141.94163165533794,OUT017,2007,Medium,Tier 2,Supermarket Type1,2004.06915771128
FDR49,8.722953445322476,Low Fat,0.1466663944403627,Canned,47.22628229533838,OUT018,2009,Medium,Tier 3,Supermarket Type2,910.8070619696224
DRE13,6.286815812943646,Low Fat,0.0261027214855402,Soft Drinks,85.81803863949595,OUT045,2002,Medium,Tier 2,Supermarket Type1,872.1877720068227
FDN08,7.725824969673332,Regular,0.1331100490940103,Fruits and Vegetables,116.6515776718116,OUT010,1998,Medium,Tier 3,Grocery Store,117.84219934009748
FDV51,16.359777805198362,Low Fat,0.0500500185457676,Meat,165.78293706229886,OUT046,1997,Small,Tier 1,Supermarket Type1,2652.5370595111976
FDJ53,10.514374281954394,Low Fat,0.0854727232041608,Frozen Foods,119.18810535385852,OUT035,2004,Small,Tier 2,Supermarket Type1,1325.6694493860289
NCG42,19.211363197166413,Low Fat,0.0412591115214433,Household,129.82725382648118,OUT046,1997,Small,Tier 1,Supermarket Type1,1947.472215076448
FDT51,11.65,Regular,0.018275816,Meat,110.8544,OUT010,1998,Medium,Tier 3,Grocery Store,111.8544
FDR46,12.85764826488396,Low Fat,0.13545745445495,Snack Foods,147.48197268143554,OUT027,1985,Medium,Tier 3,Supermarket Type3,3368.921653567128
NCW17,12.85764826488396,Low Fat,0.019292355,Health and Hygiene,129.9994,OUT027,1985,Medium,Tier 3,Supermarket Type3,3340.9844
FDD44,8.06057156958316,Regular,0.0733223139714001,Fruits and Vegetables,259.0362740885052,OUT046,1997,Small,Tier 1,Supermarket Type1,4380.292877782454
FDJ09,14.99440669468324,Low Fat,0.0669687161515309,Snack Foods,46.97215592156713,OUT045,2002,Medium,Tier 2,Supermarket Type1,679.1091542267
FDW24,6.820618308124253,Low Fat,0.0274994289216535,Baking Goods,47.50126501322968,OUT013,1987,High,Tier 3,Supermarket Type1,534.6085457165841
NCW41,12.85764826488396,Low Fat,0.0032908964541085,Health and Hygiene,156.9594607094744,OUT027,1985,Medium,Tier 3,Supermarket Type3,4278.415457449391
DRG39,14.16731774060762,Low Fat,0.0685294786571934,Dairy,52.11199872283108,OUT046,1997,Small,Tier 1,Supermarket Type1,578.5839281885891
FDG35,21.20716887782617,Regular,-0.0180279756491804,Starchy Foods,173.55078149167582,OUT046,1997,Small,Tier 1,Supermarket Type1,2954.1225821614903
FDU21,11.788988724227762,Regular,0.08291806025409,Snack Foods,33.1642722748079,OUT045,2002,Medium,Tier 2,Supermarket Type1,543.2873630016719
FDO38,17.259377460906833,Low Fat,0.0506327211046383,Canned,76.50614247155396,OUT017,2007,Medium,Tier 2,Supermarket Type1,778.9757316525897
FDD59,10.499411188019684,Regular,0.0810637942583306,Starchy Foods,80.88641638821419,OUT017,2007,Medium,Tier 2,Supermarket Type1,958.7549755017312
FDL32,12.85764826488396,Regular,0.1955039826379458,Fruits and Vegetables,111.68407690142146,OUT019,1985,Small,Tier 1,Grocery Store,335.5466257540894
FDW49,19.487631350156324,Low Fat,0.0756838985381557,Canned,177.1885155492862,OUT035,2004,Small,Tier 2,Supermarket Type1,2149.2111730911274
NCB18,19.6195479676795,LF,0.038202891012372,Household,89.24076075232892,OUT045,2002,Medium,Tier 2,Supermarket Type1,1416.822424531183
FDD16,20.5,Low Fat,0.036346224,Frozen Foods,72.9696,OUT035,2004,Small,Tier 2,Supermarket Type1,596.5568
FDH04,12.85764826488396,Regular,0.0191399843719266,Frozen Foods,91.0650282974418,OUT019,1985,Small,Tier 1,Grocery Store,271.639970871072
FDK15,12.85764826488396,Low Fat,0.172309903,Meat,98.2042,OUT019,1985,Small,Tier 1,Grocery Store,198.4084
FDP56,8.153277963018422,Low Fat,0.0335895187720687,Fruits and Vegetables,49.96701260525124,OUT017,2007,Medium,Tier 2,Supermarket Type1,837.589413764927
FDU24,12.85764826488396,Regular,0.2510735814751442,Baking Goods,92.81819768646103,OUT019,1985,Small,Tier 1,Grocery Store,93.21625424109408
FDU15,13.651965602439434,Regular,0.0162157638215841,Meat,34.755996872679674,OUT013,1987,High,Tier 3,Supermarket Type1,683.09910412614
FDO15,12.85764826488396,Regular,0.007021705156288,Meat,72.49566204103853,OUT027,1985,Medium,Tier 3,Supermarket Type3,2512.7222983022366
FDV24,5.615940981673539,Low Fat,0.1196100361958489,Baking Goods,149.92437237744605,OUT018,2009,Medium,Tier 3,Supermarket Type2,2546.691273686535
FDY60,10.511853076927528,Regular,0.0241248901033461,Baking Goods,144.82055476391105,OUT017,2007,Medium,Tier 2,Supermarket Type1,2157.196972145868
FDC28,7.907138243324637,Low Fat,0.0527403316309071,Frozen Foods,108.62747083942897,OUT046,1997,Small,Tier 1,Supermarket Type1,1844.9388696609096
FDK43,9.808199689548385,Low Fat,0.0073727713583815,Meat,128.4053484257994,OUT045,2002,Medium,Tier 2,Supermarket Type1,2403.554155860973
FDN13,18.6,LF,0.151931742,Breakfast,101.1358,OUT013,1987,High,Tier 3,Supermarket Type1,1105.8938
FDK08,9.195,Regular,0.204713036,Fruits and Vegetables,101.0016,OUT010,1998,Medium,Tier 3,Grocery Store,202.4032
FDV07,12.85764826488396,Low Fat,0.0313400519501609,Fruits and Vegetables,111.02481783886114,OUT027,1985,Medium,Tier 3,Supermarket Type3,3205.190471591189
FDP24,20.6,Low Fat,0.13893181,Baking Goods,119.5756,OUT010,1998,Medium,Tier 3,Grocery Store,121.1756
FDZ38,17.610879009683938,LF,0.0114461750321726,Dairy,170.41833100729923,OUT046,1997,Small,Tier 1,Supermarket Type1,2759.076686115289
FDS22,16.85400573048299,Regular,0.0118392451676387,Snack Foods,44.8319552653046,OUT013,1987,High,Tier 3,Supermarket Type1,703.0790198590034
DRD27,18.761900794145824,Low Fat,-0.0079710887585634,Dairy,97.90404326950878,OUT045,2002,Medium,Tier 2,Supermarket Type1,1686.4649632397134
FDH12,9.6,Low Fat,0.085085743,Baking Goods,105.128,OUT049,1999,Medium,Tier 1,Supermarket Type1,1065.28
FDU50,5.749166802328745,Regular,0.0792753384152824,Dairy,112.81305122371076,OUT013,1987,High,Tier 3,Supermarket Type1,1374.199198666349
NCE54,20.688713047536726,Low Fat,-0.0075244049844327,Household,74.34249879539044,OUT018,2009,Medium,Tier 3,Supermarket Type2,1880.891280238492
FDA33,6.469569062453078,Low Fat,0.024081126552581,Snack Foods,146.20782751019985,OUT017,2007,Medium,Tier 2,Supermarket Type1,2364.9289303338346
FDR55,12.160375084036817,Regular,0.1285452838141371,Fruits and Vegetables,187.98318202333385,OUT013,1987,High,Tier 3,Supermarket Type1,2458.1284577927963
FDU59,5.772184395078364,Low Fat,0.0949532263581902,Breads,161.96246301172252,OUT013,1987,High,Tier 3,Supermarket Type1,2111.9277496335967
FDE44,14.66258709364393,Low Fat,0.1589066254689686,Fruits and Vegetables,50.38490898100257,OUT013,1987,High,Tier 3,Supermarket Type1,591.2333964255221
FDX50,20.1,Low Fat,0.124910635,Dairy,109.6228,OUT010,1998,Medium,Tier 3,Grocery Store,110.5228
NCO30,19.51192440172497,Low Fat,0.0059904005474217,Household,183.2667342915083,OUT017,2007,Medium,Tier 2,Supermarket Type1,2940.1609982261693
FDY32,12.85764826488396,Low Fat,0.226284381,Fruits and Vegetables,163.221,OUT019,1985,Small,Tier 1,Grocery Store,326.242
FDX04,19.62090198980688,Regular,0.0369607241180697,Frozen Foods,47.64122395482137,OUT035,2004,Small,Tier 2,Supermarket Type1,335.5751873196775
FDR14,11.654141811844758,Low Fat,0.1747159234627158,Dairy,52.93132744788026,OUT046,1997,Small,Tier 1,Supermarket Type1,647.169898381296
NCP42,12.85764826488396,Low Fat,0.0275347774427961,Household,195.553487861115,OUT019,1985,Small,Tier 1,Grocery Store,387.5045732558016
FDX58,13.15,LF,0.073251428,Snack Foods,181.695,OUT010,1998,Medium,Tier 3,Grocery Store,549.285
DRE15,13.324863613261922,Low Fat,0.0030176044878662,Dairy,75.10608695094736,OUT045,2002,Medium,Tier 2,Supermarket Type1,1366.237418949233
DRB01,7.400320836304584,Low Fat,0.0867365234400307,Soft Drinks,190.9269019475429,OUT013,1987,High,Tier 3,Supermarket Type1,2466.802105219327
DRN11,7.863035606400552,Low Fat,0.1383231324871642,Hard Drinks,144.6488099805792,OUT049,1999,Medium,Tier 1,Supermarket Type1,2467.4516266633427
FDZ32,7.773568118724015,Regular,0.0091535827687077,Fruits and Vegetables,106.48303273015291,OUT013,1987,High,Tier 3,Supermarket Type1,1577.9397568984025
FDC34,16.003203559457337,Regular,0.1871078921183863,Snack Foods,154.57918959631394,OUT013,1987,High,Tier 3,Supermarket Type1,1869.571153872768
NCT05,10.889994296489723,Low Fat,0.0325966231408097,Health and Hygiene,255.3594853380372,OUT046,1997,Small,Tier 1,Supermarket Type1,766.9849321868613
FDH09,12.60432684638721,Low Fat,0.0614623408902651,Seafood,50.8004927738016,OUT035,2004,Small,Tier 2,Supermarket Type1,473.3799088399805
FDA21,13.61951537269714,Low Fat,0.0555712547263899,Snack Foods,183.79738821974044,OUT045,2002,Medium,Tier 2,Supermarket Type1,2591.2915230423823
FDL28,10.01229278520907,Regular,0.0471835764308559,Frozen Foods,228.6523019229363,OUT035,2004,Small,Tier 2,Supermarket Type1,3455.492118217181
FDN27,20.868962879888297,Low Fat,0.0357546204050674,Meat,116.8571621923085,OUT035,2004,Small,Tier 2,Supermarket Type1,820.2816938803346
NCC18,19.1,Low Fat,0.177992139,Household,173.1422,OUT018,2009,Medium,Tier 3,Supermarket Type2,2931.5174
NCV42,6.255765456061373,Low Fat,0.0473222987534539,Household,111.0203991019384,OUT010,1998,Medium,Tier 3,Grocery Store,221.0271735157024
FDC02,21.35670097761661,Low Fat,0.0729746892637292,Canned,258.5384413260395,OUT035,2004,Small,Tier 2,Supermarket Type1,5206.565896839631
FDP44,16.5281829972818,Regular,0.1346990219158801,Fruits and Vegetables,102.21807144968196,OUT010,1998,Medium,Tier 3,Grocery Store,102.55748220314136
FDA27,20.34814468884628,Regular,0.0595671279194611,Dairy,256.3668301346596,OUT045,2002,Medium,Tier 2,Supermarket Type1,1022.6735259218714
FDC11,20.510619926050914,LF,0.1356015974182092,Starchy Foods,89.74275346141279,OUT046,1997,Small,Tier 1,Supermarket Type1,1159.827875169587
FDZ22,12.85764826488396,Low Fat,0.0694860116171699,Snack Foods,81.82554518393617,OUT019,1985,Small,Tier 1,Grocery Store,83.22714761125842
FDM44,12.509275842136969,Low Fat,0.0377813834904727,Fruits and Vegetables,103.89151487963444,OUT049,1999,Medium,Tier 1,Supermarket Type1,1960.7710470941813
FDZ27,7.926696473769234,Low Fat,0.0286690479759913,Dairy,51.44004560408224,OUT017,2007,Medium,Tier 2,Supermarket Type1,499.3558096174559
FDR25,17.00524165527002,Regular,0.1343423157582301,Canned,265.773072508972,OUT045,2002,Medium,Tier 2,Supermarket Type1,3974.817921856844
FDD47,7.578676729229024,Regular,0.1283028886663494,Starchy Foods,171.34356203606072,OUT013,1987,High,Tier 3,Supermarket Type1,3238.450482052796
DRK59,8.89476251521409,LF,0.0769920042705656,Hard Drinks,235.85519249321865,OUT035,2004,Small,Tier 2,Supermarket Type1,3046.696554808259
FDB15,10.883462258123036,Low Fat,0.1219079540551832,Dairy,264.3602500149545,OUT018,2009,Medium,Tier 3,Supermarket Type2,4745.82479237629
NCK53,12.85764826488396,Low Fat,-0.0054585217517639,Health and Hygiene,100.79469378580114,OUT027,1985,Medium,Tier 3,Supermarket Type3,3472.1408105119644
FDR33,7.312035545936255,Low Fat,0.0172031155031235,Snack Foods,108.0676901716988,OUT049,1999,Medium,Tier 1,Supermarket Type1,2087.2790345588146
FDP28,13.643139292344276,Regular,0.0789900252275861,Frozen Foods,262.70848134977894,OUT046,1997,Small,Tier 1,Supermarket Type1,4175.888162928424
FDV47,12.85764826488396,Low Fat,0.105092012077108,Breads,84.563873160544,OUT019,1985,Small,Tier 1,Grocery Store,253.6674488654187
FDH10,21.0,Low Fat,0.049263979,Snack Foods,195.0478,OUT013,1987,High,Tier 3,Supermarket Type1,1549.9824
NCP55,14.631467701946734,Low Fat,-0.0005574854070273,Others,56.47579813171445,OUT010,1998,Medium,Tier 3,Grocery Store,55.26060406203669
FDZ35,12.85764826488396,Regular,0.0213225698783758,Breads,105.21730854321046,OUT027,1985,Medium,Tier 3,Supermarket Type3,3199.1816075100314
NCJ05,18.69648455564185,Low Fat,0.0378917576787332,Health and Hygiene,151.564813149832,OUT035,2004,Small,Tier 2,Supermarket Type1,1982.083047036415
FDR32,6.806467996504049,Regular,0.0974739905160725,Fruits and Vegetables,229.56751218727263,OUT013,1987,High,Tier 3,Supermarket Type1,3425.5319070208416
FDS49,9.019226231209425,Low Fat,0.0736813587224659,Canned,80.15654864771669,OUT017,2007,Medium,Tier 2,Supermarket Type1,1178.4707519489286
DRI11,8.259524153938358,Low Fat,0.0285011593759551,Hard Drinks,115.79212504376842,OUT035,2004,Small,Tier 2,Supermarket Type1,2073.3060700498067
NCZ30,12.85764826488396,LF,0.0341187483726186,Household,121.91627779228548,OUT027,1985,Medium,Tier 3,Supermarket Type3,3374.2735603577703
FDH33,12.837809063711877,Low Fat,0.1193400363259012,Snack Foods,42.76103933138338,OUT035,2004,Small,Tier 2,Supermarket Type1,703.0803050391859
FDX37,16.176533897725502,Low Fat,0.0441699044532606,Canned,100.50044671760097,OUT049,1999,Medium,Tier 1,Supermarket Type1,1597.919507728962
FDO48,15.000480822676217,Regular,0.0293717159618102,Baking Goods,219.7541175182044,OUT013,1987,High,Tier 3,Supermarket Type1,3094.658170734029
FDG60,20.342780137631628,Low Fat,0.0625061693865067,Baking Goods,232.7737641449989,OUT013,1987,High,Tier 3,Supermarket Type1,2812.353170842215
FDX03,15.855266013166048,Regular,0.0743104999546356,Meat,44.76941820258792,OUT013,1987,High,Tier 3,Supermarket Type1,181.0985579123629
FDR03,15.699983217618191,Regular,0.015542917115878,Meat,207.88709707031373,OUT035,2004,Small,Tier 2,Supermarket Type1,3095.981314558685
FDT08,13.649566876452711,Low Fat,0.0539600029035257,Fruits and Vegetables,150.51835774397787,OUT049,1999,Medium,Tier 1,Supermarket Type1,2696.4792190709145
FDA28,16.111132755910702,Regular,0.0504227694999291,Frozen Foods,126.54516339334452,OUT017,2007,Medium,Tier 2,Supermarket Type1,1761.6886196120251
FDJ10,5.084131912933774,Regular,0.1388173243800613,Snack Foods,139.7930700721424,OUT035,2004,Small,Tier 2,Supermarket Type1,1264.3629650837197
FDU24,6.768605521830552,Regular,0.0247574383818021,Baking Goods,94.01118907059217,OUT013,1987,High,Tier 3,Supermarket Type1,1211.7711472165183
FDO01,21.13596199416568,Regular,0.0107068986901734,Breakfast,128.80257580574582,OUT045,2002,Medium,Tier 2,Supermarket Type1,1798.9974678588285
FDZ10,17.85035033841098,Low Fat,0.0421912186788773,Snack Foods,124.89641941037212,OUT013,1987,High,Tier 3,Supermarket Type1,1897.497798422812
FDP19,11.510491932340017,LF,0.2937314651506227,Fruits and Vegetables,130.64039957586422,OUT010,1998,Medium,Tier 3,Grocery Store,258.3202805103427
FDG34,12.85764826488396,Regular,0.0591970392256221,Snack Foods,107.83330734385063,OUT027,1985,Medium,Tier 3,Supermarket Type3,1410.830349067843
FDH19,19.359423958858727,Low Fat,0.0589912600787509,Meat,173.86005785410748,OUT017,2007,Medium,Tier 2,Supermarket Type1,2432.8391412252727
DRF27,8.919598496621965,Low Fat,0.028721048584938,Dairy,151.44829454973726,OUT018,2009,Medium,Tier 3,Supermarket Type2,1225.0723270704564
DRK39,7.005903658141993,Low Fat,-0.0153275193407756,Dairy,83.82061880884395,OUT017,2007,Medium,Tier 2,Supermarket Type1,1414.8397483874585
NCF42,17.358586939029646,Low Fat,0.168032681936828,Household,176.77432470158368,OUT017,2007,Medium,Tier 2,Supermarket Type1,2812.3323533004027
FDN15,17.512740454035317,Low Fat,0.0164309754752585,Meat,138.52206302185942,OUT018,2009,Medium,Tier 3,Supermarket Type2,2376.9108667271744
FDJ07,7.234470996196203,Low Fat,0.0158909257106802,Meat,117.42908999430776,OUT010,1998,Medium,Tier 3,Grocery Store,466.05602220973617
FDT32,12.85764826488396,Regular,0.115320014661703,Fruits and Vegetables,188.4295486014266,OUT019,1985,Small,Tier 1,Grocery Store,565.2653889288258
FDR14,11.647788931270394,Low Fat,0.172901496747544,Dairy,55.54321872924479,OUT017,2007,Medium,Tier 2,Supermarket Type1,647.1641983730901
DRE03,19.6,Low Fat,0.024363939,Dairy,46.3718,OUT017,2007,Medium,Tier 2,Supermarket Type1,661.8052
FDX33,9.17323442944408,Regular,0.1260053030913089,Snack Foods,158.94972743694186,OUT035,2004,Small,Tier 2,Supermarket Type1,2246.406734208766
FDR12,12.85764826488396,Regular,0.0385903633320693,Baking Goods,172.4762157901048,OUT019,1985,Small,Tier 1,Grocery Store,687.0817361485952
FDR23,15.858060481477096,Low Fat,0.103511981701872,Breads,177.6292874475262,OUT049,1999,Medium,Tier 1,Supermarket Type1,3352.289764882265
FDC20,12.85764826488396,low fat,0.0404942815930128,Fruits and Vegetables,55.40354577828459,OUT019,1985,Small,Tier 1,Grocery Store,111.8720546185107
FDJ44,12.301778854822,Regular,0.0865135118892494,Fruits and Vegetables,173.2518739961253,OUT045,2002,Medium,Tier 2,Supermarket Type1,3139.914828056116
NCD06,12.996909774888444,low fat,0.0919914924031477,Household,46.30031574626715,OUT013,1987,High,Tier 3,Supermarket Type1,699.0830755998002
FDB33,17.718667083413518,Low Fat,0.0028482089131311,Fruits and Vegetables,158.63509379278315,OUT049,1999,Medium,Tier 1,Supermarket Type1,3819.02111730193
NCR29,12.85764826488396,Low Fat,0.054376275,Health and Hygiene,56.293,OUT027,1985,Medium,Tier 3,Supermarket Type3,2546.685
NCN29,15.196588522544864,Low Fat,0.0003328572948287,Health and Hygiene,48.70169572463588,OUT045,2002,Medium,Tier 2,Supermarket Type1,680.4534706705765
NCU30,5.119793387400217,Low Fat,0.0456225097999247,Household,161.73033932465376,OUT046,1997,Small,Tier 1,Supermarket Type1,2446.8093658546013
FDU46,10.298806238534718,Regular,-0.0065722964368179,Snack Foods,87.25548740743456,OUT046,1997,Small,Tier 1,Supermarket Type1,1211.750982088461
DRG27,8.884801121658235,Low Fat,0.1130918732331075,Dairy,39.10959306256856,OUT045,2002,Medium,Tier 2,Supermarket Type1,609.1847799977457
NCT18,12.85764826488396,Low Fat,0.0688070488067619,Household,181.61731807912705,OUT027,1985,Medium,Tier 3,Supermarket Type3,4165.243534625068
NCH29,5.511942124627196,Low Fat,0.0110961676985675,Health and Hygiene,98.9675954319075,OUT018,2009,Medium,Tier 3,Supermarket Type2,1565.9748548183024
FDY11,6.727196464297926,Regular,0.0371831522291467,Baking Goods,67.5322203119146,OUT013,1987,High,Tier 3,Supermarket Type1,593.2170237936408
DRD15,10.615782876460694,Low Fat,0.0572923734698112,Dairy,232.85922051863164,OUT046,1997,Small,Tier 1,Supermarket Type1,3485.476442275094
NCW29,12.85764826488396,Low Fat,0.028723187,Health and Hygiene,131.831,OUT027,1985,Medium,Tier 3,Supermarket Type3,3635.268
FDO40,12.85764826488396,Low Fat,0.0405303230275682,Frozen Foods,148.9532668575673,OUT027,1985,Medium,Tier 3,Supermarket Type3,3728.4745128251298
FDM09,11.159388782826452,Regular,0.0748770620517442,Snack Foods,167.87503698290078,OUT045,2002,Medium,Tier 2,Supermarket Type1,2886.249440433174
FDX43,5.655,LF,0.085274988,Fruits and Vegetables,165.05,OUT046,1997,Small,Tier 1,Supermarket Type1,2330.3
FDX24,8.362980054255644,low fat,0.018253162491612,Baking Goods,93.02773231850443,OUT035,2004,Small,Tier 2,Supermarket Type1,1110.5494802724431
NCN26,10.852640613576757,Low Fat,0.0401565906875041,Household,115.17738104350006,OUT046,1997,Small,Tier 1,Supermarket Type1,2109.243946134178
FDX07,19.225753753351643,Regular,0.0168376056354583,Fruits and Vegetables,181.7055072100042,OUT045,2002,Medium,Tier 2,Supermarket Type1,2563.3308339513883
FDY50,5.793448249263011,Low Fat,0.162474765859818,Dairy,87.83093590479659,OUT045,2002,Medium,Tier 2,Supermarket Type1,1070.6000852304517
FDW19,12.352915887324537,Regular,0.0513581682208259,Fruits and Vegetables,109.54722611842573,OUT045,2002,Medium,Tier 2,Supermarket Type1,1757.7254078452904
NCR18,15.85,Low Fat,0.020603511,Household,42.7112,OUT017,2007,Medium,Tier 2,Supermarket Type1,639.168
FDU11,4.800397246613702,Low Fat,0.1180478626248392,Breads,120.10394251680135,OUT013,1987,High,Tier 3,Supermarket Type1,1325.554481466018
FDU35,6.458811355085277,low fat,0.0050148017805691,Breads,99.87286532487852,OUT045,2002,Medium,Tier 2,Supermarket Type1,1498.0691448021305
NCD42,16.497924111098722,Low Fat,0.0487602664372476,Health and Hygiene,39.35255701153631,OUT045,2002,Medium,Tier 2,Supermarket Type1,645.1788800998718
FDF12,8.257196795320926,Low Fat,0.090337319237596,Baking Goods,149.32002359333714,OUT017,2007,Medium,Tier 2,Supermarket Type1,1921.4840343858
FDD52,18.25354104908589,Regular,0.1952916836220747,Dairy,108.56287211050396,OUT035,2004,Small,Tier 2,Supermarket Type1,1208.42757125558
FDJ40,12.85764826488396,Regular,0.0462262892224812,Frozen Foods,108.66797354717237,OUT027,1985,Medium,Tier 3,Supermarket Type3,3057.3459288573767
NCM17,12.85764826488396,Low Fat,0.0629217537724168,Health and Hygiene,46.4026352937461,OUT027,1985,Medium,Tier 3,Supermarket Type3,2007.3843475869148
FDL50,12.170904681654616,Regular,0.0473909280286575,Canned,123.49871432674384,OUT017,2007,Medium,Tier 2,Supermarket Type1,1743.068182120745
FDM45,8.651977075924322,Regular,0.0958937096038046,Snack Foods,119.7874312074858,OUT013,1987,High,Tier 3,Supermarket Type1,2059.9900325157487
DRD27,18.74849818835798,Low Fat,0.011206993639764,Dairy,97.89348718340122,OUT045,2002,Medium,Tier 2,Supermarket Type1,1686.4705195955942
NCA06,20.490012938987928,Low Fat,0.1440472744658833,Household,37.23860139915843,OUT045,2002,Medium,Tier 2,Supermarket Type1,476.0385798097773
FDC28,7.897081422683816,Low Fat,-0.0263853661532853,Frozen Foods,109.11796698084667,OUT017,2007,Medium,Tier 2,Supermarket Type1,1627.8567836979837
FDX33,9.215822555474528,Regular,0.1176318291548878,Snack Foods,159.55488641089127,OUT049,1999,Medium,Tier 1,Supermarket Type1,1283.680838375817
NCS54,13.59672258760212,Low Fat,0.0046911450946147,Household,176.72679342765065,OUT049,1999,Medium,Tier 1,Supermarket Type1,4940.216052625585
FDU21,12.85764826488396,Regular,0.076348933,Snack Foods,32.8558,OUT027,1985,Medium,Tier 3,Supermarket Type3,713.0718
